Qty,Value,Device,Package,Parts,MPN,LCSC Part number
1,0.47 uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,P:C5,GRM188R7YA474KE05D,C162281
1,1 k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,R4,0402WGF1001TCE,C11702
4,100 nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"SD1:C6, SD1:C9, SD2:C6, SD2:C9",0402F104M500NT,C1581
4,100 nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"SD1:C1, SD1:C3, SD2:C1, SD2:C3",0402F104M500NT,C1581
1,100k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,P:R2,0402WGF1003TCE,C25741
1,100nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,P:C2,0402F104M500NT,C1581
6,100nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C6, C7, C8, C9, C10, P:C3",CL05B104KO5NNNC,C1525
1,10k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,P:R1,0402WGJ0103TCE,C25531
1,10uF,C_CHIP-0805(2012-METRIC),CAPC2012X110,P:C8,CL21A106KAYNNNE,C15850
2,10uH,INDUCTOR_CHIP-0805(2012-METRIC),INDC2009X120,"L1, P:L1",SDFL2012S100KTF,C1046
2,12pF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C2, C3",0402CG120J500NT,C1547
4,150 m,R-US_CHIP-2010(5025-METRIC),RESC5025X71,"SD1:R1, SD1:R2, SD2:R1, SD2:R2",RTT20R15JTE,C159212
1,19.1k,R-US_CHIP-0603(1608-METRIC),RESC1608X60,P:R3,RC0603FR-0719K1L,C173754
1,1K,R-US_CHIP-0402(1005-METRIC),RESC1005X40,R2,0402WGF1001TCE,C11702
3,1k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,"R5, R6, R7",0402WGF1001TCE,C11702
2,2.2 uF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"SD1:C8, SD2:C8",CL05A225MQ5NSNC,C12530
1,2.2uF,C_CHIP-0805(2012-METRIC),CAPC2012X110,C1,CL21A225KOFNNNE,C1731
2,22 nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"SD1:C5, SD2:C5",0402B223K500NT,C45783
13,22 uF,C_CHIP-0805(2012-METRIC),CAPC2012X110,"P:C4, P:C6, P:C7, SD1:C2, SD1:C4, SD1:C7, SD1:C10, SD1:C11, SD2:C2, SD2:C4, SD2:C7, SD2:C10, SD2:C11",CL21A226MAQNNNE,C45783
1,3A,FUSE_CHIP-1206(3216-METRIC),FUSC3215X82N,P:F1,0468003.NRHF,C41342
1,4.7uF,C_CHIP-1206(3216-METRIC),CAPC3216X135,P:C1,CL31A475KAHNNNE,C11044
3,5.1K,R-US_CHIP-0402(1005-METRIC),RESC1005X40,"R1, R3, R8",0402WGF5101TCE,C25905
1,IRF7404TRPBFIRF7404TRPBF_INF,IRF7404TRPBFIRF7404TRPBF_INF,IRF7404TRPBF_INF,P:Q2,IRF7404TRPBF,C2997
1,KT-0603R,KT-0603R,LED_KT-0603R,D1,BL-HUF36D-AV-TRB,C94740
1,LM3940IMP-3.3/NOPB,LM3940IMP-3.3/NOPB,VREG_LM3940IMP-3.3/NOPB,P:VR1,,C140319
1,LMR51625XDDCRDDC0006A-MFG,LMR51625XDDCRDDC0006A-MFG,DDC0006A-MFG,P:U1,,
1,PINHD-1X3,PINHD-1X3,1X03,JP1,,
2,PINHD-1X4,PINHD-1X4,1X04,"JP2, JP4",,
1,PINHD-2X4,PINHD-2X4,2X04,JP3,,
2,S2B-PH-SM4-TB,S2B-PH-SM4-TB,JST_S2B-PH-SM4-TB,"P1, P2",HCZZ0021-2,C7433707
1,SM0603GC,SM0603GC,LED_SM0603GC,D2,P0603P1N46G12,C5123548
1,STM32F411CEU6,STM32F411CEU6,QFN50P700X700X60-49N,U1,,C60420
2,TSX-3225_16.0000MF18X-AC3,TMC2209-LA-TQFN28_5X5_3X8_EPAD_TRI,QFN28_5X5_3X8_EPAD_TRI,"SD1:U1, SD2:U1",,C2150710
1,TS-1187A-B-A-B,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,S1,TS-1187A-B-A-B,C318884
1,TSX-3225_16.0000MF18X-AC3,TSX-3225_16.0000MF18X-AC3,XTAL_TSX-3225_16.0000MF18X-AC3,Y1,TSX-3225 16.0000MF18X-AC3,C13738
1,XT30UPB-M,XT30UPB-M,XT30UPB-M,U$1,,C428721
